6.296s | tick 6528 | track 1 | ch 1 | Note On D#3 (51) vel 36
6.389s | tick 6624 | track 1 | ch 1 | Note Off D#3 (51) vel 0
6.389s | tick 6624 | track 1 | ch 1 | Note On C3 (48) vel 36
6.481s | tick 6720 | track 1 | ch 1 | Note Off C3 (48) vel 0
6.481s | tick 6720 | track 1 | ch 1 | Note On D#3 (51) vel 37
6.574s | tick 6816 | track 1 | ch 1 | Note Off D#3 (51) vel 0
6.574s | tick 6816 | track 1 | ch 1 | Note On G3 (55) vel 37
6.667s | tick 6912 | track 1 | ch 1 | Note Off G3 (55) vel 0
6.667s | tick 6912 | track 1 | ch 1 | Note On D#4 (63) vel 37
6.759s | tick 7008 | track 1 | ch 1 | Note Off D#4 (63) vel 0
6.759s | tick 7008 | track 1 | ch 1 | Note On C4 (60) vel 38
6.852s | tick 7104 | track 1 | ch 1 | Note Off C4 (60) vel 0
6.852s | tick 7104 | track 1 | ch 1 | Note On G4 (67) vel 37
6.944s | tick 7200 | track 1 | ch 1 | Note Off G4 (67) vel 0
6.944s | tick 7200 | track 1 | ch 1 | Note On D#4 (63) vel 38
7.037s | tick 7296 | track 1 | ch 1 | Note Off D#4 (63) vel 0
7.037s | tick 7296 | track 1 | ch 1 | Note On C5 (72) vel 38
7.130s | tick 7392 | track 1 | ch 1 | Note Off C5 (72) vel 0
7.130s | tick 7392 | track 1 | ch 1 | Note On G4 (67) vel 38
7.222s | tick 7488 | track 1 | ch 1 | Note Off G4 (67) vel 0
7.222s | tick 7488 | track 1 | ch 1 | Note On D#4 (63) vel 37
7.315s | tick 7584 | track 1 | ch 1 | Note Off D#4 (63) vel 0
7.315s | tick 7584 | track 1 | ch 1 | Note On C4 (60) vel 37
7.407s | tick 7680 | track 1 | ch 1 | Note Off C4 (60) vel 0
7.407s | tick 7680 | track 1 | ch 1 | Note Off C4 (60) vel 0
7.407s | tick 7680 | track 1 | ch 1 | Note Off D#4 (63) vel 0
7.407s | tick 7680 | track 1 | ch 1 | Note Off G4 (67) vel 0
7.407s | tick 7680 | track 1 | ch 1 | Note Off C2 (36) vel 0
7.407s | tick 7680 | track 1 | ch 1 | Note Off C3 (48) vel 0
7.407s | tick 7680 | track 1 | ch 1 | Note On F4 (65) vel 32
7.407s | tick 7680 | track 1 | ch 1 | Note On F3 (53) vel 28
7.407s | tick 7680 | track 1 | ch 1 | Note On F2 (41) vel 34
7.407s | tick 7680 | track 1 | ch 1 | Note On G#4 (68) vel 26
7.407s | tick 7680 | track 1 | ch 1 | Note On C4 (60) vel 26
7.407s | tick 7680 | track 1 | ch 1 | Note On F4 (65) vel 26
7.500s | tick 7776 | track 1 | ch 1 | Note Off F4 (65) vel 0
7.500s | tick 7776 | track 1 | ch 1 | Note On C4 (60) vel 33
7.593s | tick 7872 | track 1 | ch 1 | Note Off C4 (60) vel 0
7.593s | tick 7872 | track 1 | ch 1 | Note On F3 (53) vel 34
7.685s | tick 7968 | track 1 | ch 1 | Note Off F3 (53) vel 0
7.685s | tick 7968 | track 1 | ch 1 | Note On G#3 (56) vel 35
7.778s | tick 8064 | track 1 | ch 1 | Note Off G#3 (56) vel 0
7.778s | tick 8064 | track 1 | ch 1 | Note On F3 (53) vel 36
7.870s | tick 8160 | track 1 | ch 1 | Note Off F3 (53) vel 0
7.870s | tick 8160 | track 1 | ch 1 | Note On G#3 (56) vel 36
7.963s | tick 8256 | track 1 | ch 1 | Note Off G#3 (56) vel 0
7.963s | tick 8256 | track 1 | ch 1 | Note On F4 (65) vel 36
8.056s | tick 8352 | track 1 | ch 1 | Note Off F4 (65) vel 0
8.056s | tick 8352 | track 1 | ch 1 | Note On C5 (72) vel 36
8.148s | tick 8448 | track 1 | ch 1 | Note Off C5 (72) vel 0
8.148s | tick 8448 | track 1 | ch 1 | Note On G#4 (68) vel 36
8.241s | tick 8544 | track 1 | ch 1 | Note Off G#4 (68) vel 0
8.241s | tick 8544 | track 1 | ch 1 | Note On F4 (65) vel 36
8.333s | tick 8640 | track 1 | ch 1 | Note Off F4 (65) vel 0
8.333s | tick 8640 | track 1 | ch 1 | Note On C5 (72) vel 36
8.426s | tick 8736 | track 1 | ch 1 | Note Off C5 (72) vel 0
8.426s | tick 8736 | track 1 | ch 1 | Note On G#4 (68) vel 36
8.519s | tick 8832 | track 1 | ch 1 | Note Off G#4 (68) vel 0
8.519s | tick 8832 | track 1 | ch 1 | Note On F5 (77) vel 36
8.611s | tick 8928 | track 1 | ch 1 | Note Off F5 (77) vel 0
8.611s | tick 8928 | track 1 | ch 1 | Note On C5 (72) vel 36
8.704s | tick 9024 | track 1 | ch 1 | Note Off C5 (72) vel 0
8.704s | tick 9024 | track 1 | ch 1 | Note On G#4 (68) vel 36
8.796s | tick 9120 | track 1 | ch 1 | Note Off G#4 (68) vel 0
8.796s | tick 9120 | track 1 | ch 1 | Note On F4 (65) vel 36
8.889s | tick 9216 | track 1 | ch 1 | Note Off F4 (65) vel 0
8.889s | tick 9216 | track 1 | ch 1 | Note Off F4 (65) vel 0
8.889s | tick 9216 | track 1 | ch 1 | Note Off C4 (60) vel 0
8.889s | tick 9216 | track 1 | ch 1 | Note Off G#4 (68) vel 0
8.889s | tick 9216 | track 1 | ch 1 | Note Off F2 (41) vel 0
8.889s | tick 9216 | track 1 | ch 1 | Note Off F3 (53) vel 0
8.889s | tick 9216 | track 1 | ch 1 | Note On E4 (64) vel 31
8.889s | tick 9216 | track 1 | ch 1 | Note On A1 (33) vel 34
8.889s | tick 9216 | track 1 | ch 1 | Note On A2 (45) vel 28
8.889s | tick 9216 | track 1 | ch 1 | Note On A4 (69) vel 26
8.889s | tick 9216 | track 1 | ch 1 | Note On C4 (60) vel 26
8.889s | tick 9216 | track 1 | ch 1 | Note On E4 (64) vel 26
8.981s | tick 9312 | track 1 | ch 1 | Note Off E4 (64) vel 0
8.981s | tick 9312 | track 1 | ch 1 | Note On C4 (60) vel 32
9.074s | tick 9408 | track 1 | ch 1 | Note Off C4 (60) vel 0
9.074s | tick 9408 | track 1 | ch 1 | Note On E4 (64) vel 33
9.167s | tick 9504 | track 1 | ch 1 | Note Off E4 (64) vel 0
9.167s | tick 9504 | track 1 | ch 1 | Note On A4 (69) vel 33
9.259s | tick 9600 | track 1 | ch 1 | Note Off A4 (69) vel 0
9.259s | tick 9600 | track 1 | ch 1 | Note On E4 (64) vel 33
9.259s | tick 9600 | track 1 | ch 1 | Note On E5 (76) vel 33
9.352s | tick 9696 | track 1 | ch 1 | Note Off E5 (76) vel 0
9.352s | tick 9696 | track 1 | ch 1 | Note Off E4 (64) vel 0
9.352s | tick 9696 | track 1 | ch 1 | Note On C4 (60) vel 35
9.352s | tick 9696 | track 1 | ch 1 | Note On C5 (72) vel 35
9.444s | tick 9792 | track 1 | ch 1 | Note Off C5 (72) vel 0
9.444s | tick 9792 | track 1 | ch 1 | Note Off C4 (60) vel 0
9.444s | tick 9792 | track 1 | ch 1 | Note On A4 (69) vel 30
9.444s | tick 9792 | track 1 | ch 1 | Note On A5 (81) vel 36
9.537s | tick 9888 | track 1 | ch 1 | Note Off A5 (81) vel 0
9.537s | tick 9888 | track 1 | ch 1 | Note Off A4 (69) vel 0
9.537s | tick 9888 | track 1 | ch 1 | Note On C5 (72) vel 36
9.537s | tick 9888 | track 1 | ch 1 | Note On C4 (60) vel 30
9.630s | tick 9984 | track 1 | ch 1 | Note Off C4 (60) vel 0
9.630s | tick 9984 | track 1 | ch 1 | Note Off C5 (72) vel 0
9.630s | tick 9984 | track 1 | ch 1 | Note On E5 (76) vel 30
9.630s | tick 9984 | track 1 | ch 1 | Note On C6 (84) vel 36
9.722s | tick 10080 | track 1 | ch 1 | Note Off C6 (84) vel 0
9.722s | tick 10080 | track 1 | ch 1 | Note Off E5 (76) vel 0
9.722s | tick 10080 | track 1 | ch 1 | Note On C5 (72) vel 30
9.722s | tick 10080 | track 1 | ch 1 | Note On A5 (81) vel 36
9.815s | tick 10176 | track 1 | ch 1 | Note Off A5 (81) vel 0
9.815s | tick 10176 | track 1 | ch 1 | Note Off C5 (72) vel 0
9.815s | tick 10176 | track 1 | ch 1 | Note On E6 (88) vel 36
9.815s | tick 10176 | track 1 | ch 1 | Note On E5 (76) vel 30
9.907s | tick 10272 | track 1 | ch 1 | Note Off E5 (76) vel 0
9.907s | tick 10272 | track 1 | ch 1 | Note Off E6 (88) vel 0
9.907s | tick 10272 | track 1 | ch 1 | Note On A5 (81) vel 30
9.907s | tick 10272 | track 1 | ch 1 | Note On C6 (84) vel 36
10.000s | tick 10368 | track 1 | ch 1 | Note Off C6 (84) vel 0
10.000s | tick 10368 | track 1 | ch 1 | Note Off A5 (81) vel 0
